CountryID,CountryName,CityID,CityName,NetRevenue,UnitsSold,CustomerCount,InvoiceCount
32,United States,1,Dayton,45695133.71,923782,1038,70666
32,United States,10,Toledo,44105765.75,895737,1016,69638
32,United States,11,Spokane,46298041.45,937656,1039,71256
32,United States,12,Tacoma,43798692.05,883867,989,67769
32,United States,13,Akron,43645277.51,884351,1004,68423
32,United States,14,Indianapolis,47379032.03,960925,1090,74533
32,United States,15,Colorado,46438742.20,936937,1062,72527
32,United States,16,Norfolk,45139646.17,914505,1018,69368
32,United States,17,St. Louis,45567606.66,925112,1027,70640
32,United States,18,Little Rock,45207736.25,912379,1053,71769
32,United States,19,Omaha,41856902.94,855896,1002,68489
32,United States,2,Buffalo,43702483.45,885821,1002,68538
32,United States,20,El Paso,45616318.09,925208,1058,72137
32,United States,21,Milwaukee,43740188.76,888069,1019,69530
32,United States,22,Baton Rouge,45930874.79,930588,1041,70529
32,United States,23,Anaheim,46170530.78,937595,1047,71876
32,United States,24,Lincoln,45183342.44,919030,1023,69966
32,United States,25,Boston,44394967.68,897519,1019,69679
32,United States,26,Des Moines,44108483.91,894291,1027,70382
32,United States,27,Mesa,46079304.79,934659,1045,71716
32,United States,28,Tucson,48839206.70,993698,1104,75674
32,United States,29,Washington,44761274.48,906941,998,68209
32,United States,3,Chicago,44705172.81,909389,1013,69266
32,United States,30,Philadelphia,43438890.51,882569,993,68445
32,United States,31,Wichita,43947064.58,891819,1006,69045
32,United States,32,Jackson,48416144.46,977134,1065,72532
32,United States,33,Minneapolis,43558326.79,881562,1014,69095
32,United States,34,Fort Wayne,47690126.14,967829,1088,75130
32,United States,35,Greensboro,46475385.13,940487,1036,70770
32,United States,36,Detroit,44961898.90,911135,1029,70122
32,United States,37,Fresno,43457097.69,880087,988,67427
32,United States,38,Richmond,44459061.94,901657,1048,71262
32,United States,39,Lubbock,44856608.50,904535,993,68131
32,United States,4,Fremont,44258883.24,897440,1023,69838
32,United States,40,Cleveland,44788418.47,908650,996,68217
32,United States,41,Bakersfield,44581074.62,903227,993,68003
32,United States,42,Denver,44907473.10,912254,1028,70624
32,United States,43,Glendale,46286911.81,938638,1037,71203
32,United States,44,Memphis,46061787.32,936797,1063,72930
32,United States,45,Dallas,45374816.01,924762,1029,70127
32,United States,46,New York,46438148.70,940431,1034,70600
32,United States,47,San Francisco,43221821.50,878326,1014,69346
32,United States,48,Long Beach,42206582.82,857452,1012,69361
32,United States,49,Montgomery,46068079.38,934234,1048,71765
32,United States,5,Virginia Beach,43190117.50,879881,986,67336
32,United States,50,Cincinnati,45469879.30,924779,1036,70524
32,United States,51,Portland,44823122.15,907384,1046,71702
32,United States,52,Madison,46154610.53,936613,1048,71402
32,United States,53,Las Vegas,46334130.45,942983,1050,72151
32,United States,54,Albuquerque,46471311.37,939933,1028,70555
32,United States,55,Houston,44867935.24,914722,1029,70046
32,United States,56,Stockton,45663119.87,928401,1031,70661
32,United States,57,Nashville,43913253.75,890632,1009,68873
32,United States,58,Columbus,47339287.00,965395,1096,74902
32,United States,59,Kansas,44836677.85,910400,1029,70218
32,United States,6,Austin,44488856.62,905471,1025,70206
32,United States,60,Fort Worth,42419760.38,862097,996,68244
32,United States,61,Miami,45320778.43,917321,1050,71512
32,United States,62,Mobile,43713118.09,885793,999,68953
32,United States,63,Tulsa,43704915.52,883622,1026,70202
32,United States,64,Raleigh,45105373.43,913186,1021,69934
32,United States,65,Baltimore,43794802.05,886512,1020,70009
32,United States,66,Shreveport,45920577.63,930548,1030,70444
32,United States,67,Corpus Christi,45603356.09,924619,1027,70399
32,United States,68,Anchorage,45659775.76,927756,1039,71000
32,United States,69,Oakland,46104690.52,937044,1029,70507
32,United States,7,Riverside,43903778.84,893007,1002,68438
32,United States,70,Rochester,46679385.34,945351,1043,71068
32,United States,71,Phoenix,46831423.67,948285,1079,73894
32,United States,72,Honolulu,46323708.21,939909,1070,72915
32,United States,73,Santa Ana,44630775.46,902076,1013,69151
32,United States,74,Tampa,45148240.87,918123,1027,70826
32,United States,75,San Antonio,47117168.85,954515,1038,71588
32,United States,76,Birmingham,44822241.93,906772,1020,69815
32,United States,77,Louisville,45063824.26,917432,1021,70023
32,United States,78,San Diego,45351365.83,917230,1022,70151
32,United States,79,Oklahoma,45552827.92,922863,1069,73048
32,United States,8,Arlington,46275707.95,936809,1031,70024
32,United States,80,New Orleans,42991390.92,870737,964,65736
32,United States,81,Sacramento,48191156.53,982515,1085,74564
32,United States,82,Charlotte,47120168.00,961723,1082,74127
32,United States,83,Aurora,44182433.30,897122,1006,69060
32,United States,84,Newark,46552770.81,940672,1056,72615
32,United States,85,St. Petersburg,46316281.17,935881,1055,71906
32,United States,86,San Jose,43260259.82,880950,990,67492
32,United States,87,Los Angeles,43529928.39,878525,991,67637
32,United States,88,Seattle,44810142.52,910789,1027,70439
32,United States,89,St. Paul,44102657.94,894172,1009,69370
32,United States,9,Atlanta,42411889.08,863707,971,66475
32,United States,90,Grand Rapids,43610095.61,882202,986,67281
32,United States,91,Jacksonville,45603138.44,926983,1006,69367
32,United States,92,Hialeah,46258054.83,937715,1049,71656
32,United States,93,Jersey,44823879.51,913214,1005,69005
32,United States,94,Yonkers,46751409.23,948313,1075,73603
32,United States,95,Garland,44720451.40,908246,1018,69805
32,United States,96,Pittsburgh,44790312.87,906798,1028,70713
